,Pathway_1,Pathway_2,Pathway_3,Pathway_4,Pathway_5,Pathway_6,Pathway_7,Pathway_8,Pathway_9,Pathway_10,Pathway_11,Pathway_12,Pathway_13,Pathway_14,Pathway_15,Pathway_16,Pathway_17,Pathway_18,Pathway_19,Pathway_20,Pathway_21,Pathway_22,Pathway_23,Pathway_24,Pathway_25,Pathway_26,Pathway_27,Pathway_28,Pathway_29,Pathway_30,Pathway_31,Pathway_32,Pathway_33,Pathway_34,Pathway_35,Pathway_36,Pathway_37,Pathway_38,Pathway_39,Pathway_40,Pathway_41,Pathway_42,Pathway_43,Pathway_44,Pathway_45,Pathway_46,Pathway_47,Pathway_48,Pathway_49,Pathway_50,Pathway_51,Pathway_52,Pathway_53,Pathway_54,Pathway_55,Pathway_56,Pathway_57,Pathway_58,Pathway_59,Pathway_60,Pathway_61,Pathway_62,Pathway_63,Pathway_64,Pathway_65,Pathway_66,Pathway_67,Pathway_68,Pathway_69,Pathway_70,Pathway_71,Pathway_72,Pathway_73,Pathway_74,Pathway_75,Pathway_76,Pathway_77,Pathway_78,Pathway_79,Pathway_80,Pathway_81,Pathway_82,Pathway_83,Pathway_84,Pathway_85,Pathway_86,Pathway_87,Pathway_88,Pathway_89,Pathway_90,Pathway_91,Pathway_92,Pathway_93,Pathway_94,Pathway_95,Pathway_96,Pathway_97,Pathway_98,Pathway_99,Pathway_100,Pathway_101,Pathway_102,Pathway_103,Pathway_104,Pathway_105,Pathway_106,Pathway_107,Pathway_108,Pathway_109,Pathway_110,Pathway_111,Pathway_112,Pathway_113
ENSG00000197150,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000101986,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000172350,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006071,ABC transporters,Insulin secretion,Type II diabetes mellitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000165029,ABC transporters,Cholesterol metabolism,Fat digestion and absorption,Lipid and atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000140798,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004846,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000103222,ABC transporters,MicroRNAs in cancer,Sphingolipid signaling pathway,Vitamin digestion and absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000091262,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000168394,ABC transporters,Antigen processing and presentation,Epstein-Barr virus infection,Herpes simplex virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Phagosome,Primary immunodeficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000138075,ABC transporters,Bile secretion,Cholesterol metabolism,Fat digestion and absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000154265,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000114770,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000108846,ABC transporters,Bile secretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000204267,ABC transporters,Antigen processing and presentation,Epstein-Barr virus infection,Herpes simplex virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Phagosome,Primary immunodeficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000115657,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000160179,ABC transporters,Lipid and atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000154263,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000150967,ABC transporters,Lysosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000143921,ABC transporters,Bile secretion,Cholesterol metabolism,Fat digestion and absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000107331,ABC transporters,Lysosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000064687,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005471,ABC transporters,Bile secretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000124574,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000118777,ABC transporters,Bile secretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000154258,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167972,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000073734,ABC transporters,Bile secretion,Cholesterol metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000169429,AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,Bladder cancer,Cellular senescence,Chagas disease,Chemokine signaling pathway,Coronavirus disease,Cytokine-cytokine receptor interaction,Epithelial cell signaling in Helicobacter pylori infection,Hepatitis B,Human cytomegalovirus infection,IL-17 signaling pathway,Influenza A,Kaposi sarcoma-associated herpesvirus infection,Legionellosis,Lipid and atherosclerosis,Malaria,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Non-alcoholic fatty liver disease,Pathogenic Escherichia coli infection,Pathways in cancer,Pertussis,Phospholipase D signaling pathway,RIG-I-like receptor signaling pathway,Rheumatoid arthritis,Salmonella infection,Shigellosis,Toll-like receptor signaling pathway,Transcriptional misregulation in cancer,Viral protein interaction with cytokine and cytokine receptor,Yersinia infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000187091,AGE-RAGE signaling pathway in diabetic complications,Calcium signaling pathway,Inositol phosphate metabolism,Phosphatidylinositol signaling system,Shigellosis,Thyroid hormone signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000067606,AGE-RAGE signaling pathway in diabetic complications,Axon guidance,Chemokine signaling pathway,Diabetic cardiomyopathy,Endocytosis,Fluid shear stress and atherosclerosis,Hippo signaling pathway,Human papillomavirus infection,Insulin resistance,Insulin signaling pathway,Platelet activation,Rap1 signaling pathway,Relaxin signaling pathway,Sphingolipid signaling pathway,Tight junction,Type II diabetes mellitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000078401,AGE-RAGE signaling pathway in diabetic complications,Fluid shear stress and atherosclerosis,HIF-1 signaling pathway,Hypertrophic cardiomyopathy,Melanogenesis,Neuroactive ligand-receptor interaction,Pathways in cancer,Relaxin signaling pathway,Renin secretion,TNF signaling pathway,Vascular smooth muscle contraction,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000110092,AGE-RAGE signaling pathway in diabetic complications,AMPK signaling pathway,Acute myeloid leukemia,Apelin signaling pathway,Bladder cancer,Breast cancer,Cell cycle,Cellular senescence,Chemical carcinogenesis,Chronic myeloid leukemia,Colorectal cancer,Cushing syndrome,Endometrial cancer,Epstein-Barr virus infection,Focal adhesion,FoxO signaling pathway,Gastric cancer,Glioma,Hedgehog signaling pathway,Hepatitis C,Hepatocellular carcinoma,Hippo signaling pathway,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human papillomavirus infection,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Measles,Melanoma,MicroRNAs in cancer,Non-small cell lung cancer,Oxytocin signaling pathway,PI3K-Akt signaling pathway,Pancreatic cancer,Pathways in cancer,Prolactin signaling pathway,Prostate cancer,Proteoglycans in cancer,Small cell lung cancer,Thyroid cancer,Thyroid hormone signaling pathway,Tight junction,Viral carcinogenesis,Viral myocarditis,Wnt signaling pathway,p53 signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000204490,AGE-RAGE signaling pathway in diabetic complications,Adipocytokine signaling pathway,African trypanosomiasis,Allograft rejection,Alzheimer disease,Amoebiasis,Amyotrophic lateral sclerosis,Antigen processing and presentation,Apoptosis,Asthma,C-type lectin receptor signaling pathway,Chagas disease,Coronavirus disease,Cytokine-cytokine receptor interaction,Dilated cardiomyopathy,Epstein-Barr virus infection,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,Graft-versus-host disease,Hematopoietic cell lineage,Hepatitis B,Hepatitis C,Herpes simplex virus 1 infection,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Human papillomavirus infection,Hypertrophic cardiomyopathy,IL-17 signaling pathway,Inflammatory bowel disease,Influenza A,Insulin resistance,Legionellosis,Leishmaniasis,Lipid and atherosclerosis,MAPK signaling pathway,Malaria,NF-kappa B signaling pathway,NOD-like receptor signaling pathway,Natural killer cell mediated cytotoxicity,Necroptosis,Non-alcoholic fatty liver disease,Osteoclast differentiation,Pathogenic Escherichia coli infection,Pathways of neurodegeneration,Pertussis,Prion disease,Proteoglycans in cancer,RIG-I-like receptor signaling pathway,Rheumatoid arthritis,Salmonella infection,Shigellosis,Sphingolipid signaling pathway,Systemic lupus erythematosus,T cell receptor signaling pathway,TGF-beta signaling pathway,TNF signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,Type I diabetes mellitus,Type II diabetes mellitus,Viral protein interaction with cytokine and cytokine receptor,Yersinia infection,mTOR signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000115415,AGE-RAGE signaling pathway in diabetic complications,C-type lectin receptor signaling pathway,Chemokine signaling pathway,Coronavirus disease,Epstein-Barr virus infection,"Growth hormone synthesis, secretion and action",Hepatitis B,Hepatitis C,Herpes simplex virus 1 infection,Human papillomavirus infection,Inflammatory bowel disease,Influenza A,JAK-STAT signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Leishmaniasis,Measles,NOD-like receptor signaling pathway,Necroptosis,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pancreatic cancer,Pathways in cancer,Prolactin signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Thyroid hormone signaling pathway,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000120738,AGE-RAGE signaling pathway in diabetic complications,Apelin signaling pathway,GnRH signaling pathway,Human T-cell leukemia virus 1 infection,"Parathyroid hormone synthesis, secretion and action",Prion disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000166949,AGE-RAGE signaling pathway in diabetic complications,Adherens junction,Apelin signaling pathway,Cell cycle,Cellular senescence,Chronic myeloid leukemia,Colorectal cancer,Diabetic cardiomyopathy,Endocytosis,FoxO signaling pathway,Gastric cancer,Hepatitis B,Hepatocellular carcinoma,Hippo signaling pathway,Human T-cell leukemia virus 1 infection,Inflammatory bowel disease,Pancreatic cancer,Pathways in cancer,Signaling pathways regulating pluripotency of stem cells,TGF-beta signaling pathway,Th17 cell differentiation,Wnt signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000101333,AGE-RAGE signaling pathway in diabetic complications,Adrenergic signaling in cardiomyocytes,African trypanosomiasis,Aldosterone synthesis and secretion,Alzheimer disease,Amoebiasis,Apelin signaling pathway,Calcium signaling pathway,Carbohydrate digestion and absorption,Chagas disease,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Diabetic cardiomyopathy,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Huntington disease,Inflammatory mediator regulation of TRP channels,Inositol phosphate metabolism,Insulin secretion,Lipid and atherosclerosis,Long-term depression,Long-term potentiation,Melanogenesis,NOD-like receptor signaling pathway,Neutrophil extracellular trap formation,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Pathways of neurodegeneration,Phosphatidylinositol signaling system,Phospholipase D signaling pathway,Platelet activation,Rap1 signaling pathway,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Shigellosis,Sphingolipid signaling pathway,Spinocerebellar ataxia,Taste transduction,Thyroid hormone signaling pathway,Thyroid hormone synthesis,Vascular smooth muscle contraction,Wnt signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000081052,AGE-RAGE signaling pathway in diabetic complications,Amoebiasis,ECM-receptor interaction,Focal adhesion,Human papillomavirus infection,PI3K-Akt signaling pathway,Pathways in cancer,Protein digestion and absorption,Relaxin signaling pathway,Small cell lung cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000150630,AGE-RAGE signaling pathway in diabetic complications,Calcium signaling pathway,Focal adhesion,MAPK signaling pathway,PI3K-Akt signaling pathway,Pathways in cancer,Rap1 signaling pathway,Ras signaling pathway,Relaxin signaling pathway,TNF signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000050748,AGE-RAGE signaling pathway in diabetic complications,Adipocytokine signaling pathway,Alzheimer disease,Apoptosis,Autophagy,C-type lectin receptor signaling pathway,Chagas disease,Choline metabolism in cancer,Colorectal cancer,Coronavirus disease,Diabetic cardiomyopathy,Dopaminergic synapse,Epithelial cell signaling in Helicobacter pylori infection,Epstein-Barr virus infection,ErbB signaling pathway,Fc epsilon RI signaling pathway,Fluid shear stress and atherosclerosis,Focal adhesion,FoxO signaling pathway,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hepatitis B,Human T-cell leukemia virus 1 infection,Human immunodeficiency virus 1 infection,Huntington disease,IL-17 signaling pathway,Inflammatory mediator regulation of TRP channels,Insulin resistance,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,MAPK signaling pathway,Measles,Mitophagy,NOD-like receptor signaling pathway,Necroptosis,Neurotrophin signaling pathway,Non-alcoholic fatty liver disease,Osteoclast differentiation,Pancreatic cancer,Parkinson disease,Pathogenic Escherichia coli infection,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Prion disease,Progesterone-mediated oocyte maturation,Prolactin signaling pathway,Protein processing in endoplasmic reticulum,RIG-I-like receptor signaling pathway,Ras signaling pathway,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salmonella infection,Shigellosis,Sphingolipid signaling pathway,Spinocerebellar ataxia,T cell receptor signaling pathway,TNF signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Tight junction,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,Type II diabetes mellitus,Wnt signaling pathway,Yersinia infection,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000165168,AGE-RAGE signaling pathway in diabetic complications,Alzheimer disease,Coronavirus disease,Diabetic cardiomyopathy,Ferroptosis,HIF-1 signaling pathway,Leishmaniasis,Leukocyte transendothelial migration,Lipid and atherosclerosis,NOD-like receptor signaling pathway,Necroptosis,Neutrophil extracellular trap formation,Pathways of neurodegeneration,Phagosome,Prion disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
